dates    amo    ???
1885.50   -0.00700   0.00 
1885.58    0.13200   0.00 
1885.67    0.05300   0.00 
1885.75    0.05100   0.00 
1885.83    0.03000   0.00 
1885.92    0.05300   0.00 
1886.00    0.15000   0.00 
1886.08    0.14600   0.00 
1886.17    0.20300   0.00 
1886.25    0.22600   0.00 
1886.33    0.25400   0.00 
1886.42    0.22300   0.00 
1886.50    0.26500   0.00 
1886.58    0.08400   0.00 
1886.67    0.02100   0.00 
1886.75    0.00100   0.00 
1886.83    0.00600   0.00 
1886.92   -0.00000   0.00 
1887.00   -0.07900   0.00 
1887.08   -0.06600   0.00 
1887.17   -0.00300   0.00 
1887.25   -0.04500   0.00 
1887.33    0.06500   0.00 
1887.42    0.24000   0.00 
1887.50    0.35900   0.00 
1887.58    0.22600   0.00 
1887.67    0.17800   0.00 
1887.75    0.26200   0.00 
1887.83    0.20700   0.00 
1887.92    0.20800   0.00 
1888.00    0.26000   0.00 
1888.08    0.19700   0.00 
1888.17    0.28200   0.00 
1888.25    0.15000   0.00 
1888.33    0.15600   0.00 
1888.42    0.27900   0.00 
1888.50    0.21400   0.00 
1888.58    0.17400   0.00 
1888.67    0.17700   0.00 
1888.75    0.28200   0.00 
1888.83    0.15500   0.00 
1888.92    0.10600   0.00 
1889.00    0.26400   0.00 
1889.08    0.27100   0.00 
1889.17    0.34600   0.00 
1889.25    0.32600   0.00 
1889.33    0.32700   0.00 
1889.42    0.23900   0.00 
1889.50    0.08900   0.00 
1889.58    0.10900   0.00 
1889.67    0.11700   0.00 
1889.75    0.11700   0.00 
1889.83    0.19000   0.00 
1889.92    0.06400   0.00 
1890.00    0.04400   0.00 
1890.08    0.02800   0.00 
1890.17   -0.02600   0.00 
1890.25   -0.14100   0.00 
1890.33   -0.13300   0.00 
1890.42   -0.08900   0.00 
1890.50   -0.24200   0.00 
1890.58   -0.28700   0.00 
1890.67   -0.24600   0.00 
1890.75   -0.06900   0.00 
1890.83   -0.25800   0.00 
1890.92   -0.23500   0.00 
1891.00   -0.26200   0.00 
1891.08   -0.07200   0.00 
1891.17    0.08800   0.00 
1891.25    0.12400   0.00 
1891.33    0.19200   0.00 
1891.42    0.17800   0.00 
1891.50    0.25600   0.00 
1891.58    0.11400   0.00 
1891.67    0.02200   0.00 
1891.75    0.04000   0.00 
1891.83   -0.22400   0.00 
1891.92    0.03300   0.00 
1892.00    0.07600   0.00 
1892.08    0.13700   0.00 
1892.17    0.11000   0.00 
1892.25    0.01800   0.00 
1892.33   -0.11500   0.00 
1892.42   -0.13200   0.00 
1892.50   -0.23800   0.00 
1892.58   -0.09200   0.00 
1892.67   -0.20000   0.00 
1892.75   -0.16800   0.00 
1892.83   -0.26300   0.00 
1892.92   -0.16400   0.00 
1893.00   -0.08900   0.00 
1893.08   -0.04100   0.00 
1893.17   -0.02900   0.00 
1893.25   -0.14100   0.00 
1893.33   -0.12100   0.00 
1893.42    0.13900   0.00 
1893.50    0.19200   0.00 
1893.58    0.17600   0.00 
1893.67    0.06500   0.00 
1893.75   -0.04600   0.00 
1893.83    0.03700   0.00 
1893.92   -0.14300   0.00 
1894.00   -0.13400   0.00 
1894.08   -0.15200   0.00 
1894.17   -0.17200   0.00 
1894.25   -0.26900   0.00 
1894.33   -0.34400   0.00 
1894.42   -0.31000   0.00 
1894.50   -0.21200   0.00 
1894.58   -0.22300   0.00 
1894.67   -0.21200   0.00 
1894.75   -0.32200   0.00 
1894.83   -0.29900   0.00 
1894.92   -0.21400   0.00 
1895.00   -0.10200   0.00 
1895.08   -0.07000   0.00 
1895.17   -0.24900   0.00 
1895.25   -0.27700   0.00 
1895.33   -0.19200   0.00 
1895.42   -0.09300   0.00 
1895.50   -0.05900   0.00 
1895.58   -0.08100   0.00 
1895.67    0.08800   0.00 
1895.75    0.08600   0.00 
1895.83   -0.09500   0.00 
1895.92   -0.03600   0.00 
1896.00   -0.05300   0.00 
1896.08    0.04600   0.00 
1896.17   -0.02600   0.00 
1896.25    0.06100   0.00 
1896.33    0.27000   0.00 
1896.42    0.20200   0.00 
1896.50    0.11400   0.00 
1896.58    0.09300   0.00 
1896.67    0.32700   0.00 
1896.75    0.17100   0.00 
1896.83    0.05800   0.00 
1896.92    0.06700   0.00 
1897.00    0.09100   0.00 
1897.08    0.14300   0.00 
1897.17    0.31500   0.00 
1897.25    0.25800   0.00 
1897.33    0.17300   0.00 
1897.42    0.11000   0.00 
1897.50    0.10800   0.00 
1897.58    0.02900   0.00 
1897.67    0.05800   0.00 
1897.75    0.08600   0.00 
1897.83   -0.00300   0.00 
1897.92   -0.00200   0.00 
1898.00   -0.00500   0.00 
1898.08    0.06800   0.00 
1898.17    0.11800   0.00 
1898.25    0.07100   0.00 
1898.33    0.10000   0.00 
1898.42    0.22000   0.00 
1898.50    0.22700   0.00 
1898.58    0.14900   0.00 
1898.67    0.11500   0.00 
1898.75   -0.01800   0.00 
1898.83   -0.12000   0.00 
1898.92    0.01000   0.00 
1899.00   -0.05600   0.00 
1899.08   -0.04200   0.00 
1899.17    0.00100   0.00 
1899.25    0.09500   0.00 
1899.33    0.21200   0.00 
1899.42    0.19800   0.00 
1899.50    0.12100   0.00 
1899.58    0.28000   0.00 
1899.67    0.13900   0.00 
1899.75    0.10200   0.00 
1899.83    0.21000   0.00 
1899.92    0.30900   0.00 
1900.00    0.21800   0.00 
1900.08    0.21300   0.00 
1900.17    0.07200   0.00 
1900.25    0.17500   0.00 
1900.33    0.00800   0.00 
1900.42    0.01100   0.00 
1900.50    0.10300   0.00 
1900.58    0.01000   0.00 
1900.67    0.06000   0.00 
1900.75    0.12700   0.00 
1900.83    0.05500   0.00 
1900.92    0.14700   0.00 
1901.00    0.05900   0.00 
1901.08    0.19700   0.00 
1901.17    0.17000   0.00 
1901.25    0.16200   0.00 
1901.33    0.09200   0.00 
1901.42    0.22900   0.00 
1901.50    0.19500   0.00 
1901.58    0.19300   0.00 
1901.67    0.01300   0.00 
1901.75   -0.09700   0.00 
1901.83   -0.06800   0.00 
1901.92   -0.05500   0.00 
1902.00   -0.10600   0.00 
1902.08   -0.02200   0.00 
1902.17   -0.01300   0.00 
1902.25   -0.13900   0.00 
1902.33   -0.08000   0.00 
1902.42   -0.24200   0.00 
1902.50   -0.28100   0.00 
1902.58   -0.16200   0.00 
1902.67    0.00900   0.00 
1902.75    0.02600   0.00 
1902.83   -0.10700   0.00 
1902.92   -0.07600   0.00 
1903.00   -0.03200   0.00 
1903.08    0.06200   0.00 
1903.17   -0.04900   0.00 
1903.25   -0.06000   0.00 
1903.33   -0.13500   0.00 
1903.42   -0.16700   0.00 
1903.50   -0.15500   0.00 
1903.58   -0.43600   0.00 
1903.67   -0.44700   0.00 
1903.75   -0.35800   0.00 
1903.83   -0.23000   0.00 
1903.92   -0.28400   0.00 
1904.00   -0.34400   0.00 
1904.08   -0.36500   0.00 
1904.17   -0.37100   0.00 
1904.25   -0.41500   0.00 
1904.33   -0.39000   0.00 
1904.42   -0.42200   0.00 
1904.50   -0.33000   0.00 
1904.58   -0.34100   0.00 
1904.67   -0.47100   0.00 
1904.75   -0.36300   0.00 
1904.83   -0.19200   0.00 
1904.92   -0.14700   0.00 
1905.00   -0.21800   0.00 
1905.08   -0.17600   0.00 
1905.17   -0.35300   0.00 
1905.25   -0.16600   0.00 
1905.33   -0.05600   0.00 
1905.42   -0.16600   0.00 
1905.50   -0.04800   0.00 
1905.58   -0.13600   0.00 
1905.67   -0.35000   0.00 
1905.75   -0.24500   0.00 
1905.83   -0.26200   0.00 
1905.92   -0.23900   0.00 
1906.00   -0.06600   0.00 
1906.08   -0.02700   0.00 
1906.17   -0.04700   0.00 
1906.25   -0.03900   0.00 
1906.33   -0.15400   0.00 
1906.42    0.01300   0.00 
1906.50   -0.00200   0.00 
1906.58   -0.05900   0.00 
1906.67   -0.11500   0.00 
1906.75   -0.13600   0.00 
1906.83   -0.01300   0.00 
1906.92   -0.22000   0.00 
1907.00   -0.18100   0.00 
1907.08   -0.34400   0.00 
1907.17   -0.25000   0.00 
1907.25   -0.15700   0.00 
1907.33   -0.14400   0.00 
1907.42   -0.25000   0.00 
1907.50   -0.27700   0.00 
1907.58   -0.31100   0.00 
1907.67   -0.17400   0.00 
1907.75   -0.21600   0.00 
1907.83   -0.22300   0.00 
1907.92   -0.18700   0.00 
1908.00   -0.22800   0.00 
1908.08   -0.22900   0.00 
1908.17   -0.23700   0.00 
1908.25   -0.20500   0.00 
1908.33   -0.16000   0.00 
1908.42   -0.06000   0.00 
1908.50    0.02800   0.00 
1908.58    0.01100   0.00 
1908.67   -0.08500   0.00 
1908.75   -0.11700   0.00 
1908.83   -0.15100   0.00 
1908.92   -0.11800   0.00 
1909.00   -0.10200   0.00 
1909.08   -0.14000   0.00 
1909.17   -0.09800   0.00 
1909.25   -0.14600   0.00 
1909.33   -0.00400   0.00 
1909.42   -0.12600   0.00 
1909.50   -0.16400   0.00 
1909.58   -0.08000   0.00 
1909.67   -0.11200   0.00 
1909.75   -0.14800   0.00 
1909.83   -0.28900   0.00 
1909.92   -0.23100   0.00 
1910.00   -0.30500   0.00 
1910.08   -0.24900   0.00 
1910.17   -0.25800   0.00 
1910.25   -0.30800   0.00 
1910.33   -0.33900   0.00 
1910.42   -0.35900   0.00 
1910.50   -0.28700   0.00 
1910.58   -0.25700   0.00 
1910.67   -0.10400   0.00 
1910.75   -0.18800   0.00 
1910.83   -0.07600   0.00 
1910.92   -0.24000   0.00 
1911.00   -0.25100   0.00 
1911.08   -0.25100   0.00 
1911.17   -0.30600   0.00 
1911.25   -0.31800   0.00 
1911.33   -0.34200   0.00 
1911.42   -0.23700   0.00 
1911.50   -0.16600   0.00 
1911.58   -0.06400   0.00 
1911.67   -0.11700   0.00 
1911.75   -0.11200   0.00 
1911.83   -0.22900   0.00 
1911.92   -0.17100   0.00 
1912.00   -0.23500   0.00 
1912.08   -0.25900   0.00 
1912.17   -0.21700   0.00 
1912.25   -0.16700   0.00 
1912.33   -0.11400   0.00 
1912.42   -0.14900   0.00 
1912.50   -0.25600   0.00 
1912.58   -0.39400   0.00 
1912.67   -0.24400   0.00 
1912.75   -0.24900   0.00 
1912.83   -0.22200   0.00 
1912.92   -0.23400   0.00 
1913.00   -0.30600   0.00 
1913.08   -0.21100   0.00 
1913.17   -0.22400   0.00 
1913.25   -0.44000   0.00 
1913.33   -0.44800   0.00 
1913.42   -0.56600   0.00 
1913.50   -0.43800   0.00 
1913.58   -0.43400   0.00 
1913.67   -0.42800   0.00 
1913.75   -0.38200   0.00 
1913.83   -0.45600   0.00 
1913.92   -0.32700   0.00 
1914.00   -0.22300   0.00 
1914.08   -0.31900   0.00 
1914.17   -0.40600   0.00 
1914.25   -0.38400   0.00 
