dates    nao    ???
1981.67   -1.45000   0.00
1981.75   -1.35000   0.00
1981.83   -0.38000   0.00
1981.92   -0.02000   0.00
1982.00   -0.89000   0.00
1982.08    1.15000   0.00
1982.17    1.15000   0.00
1982.25    0.10000   0.00
1982.33   -0.53000   0.00
1982.42   -1.63000   0.00
1982.50    1.15000   0.00
1982.58    0.26000   0.00
1982.67    1.76000   0.00
1982.75   -0.74000   0.00
1982.83    1.60000   0.00
1982.92    1.78000   0.00
1983.00    1.59000   0.00
1983.08   -0.53000   0.00
1983.17    0.95000   0.00
1983.25   -0.85000   0.00
1983.33   -0.07000   0.00
1983.42    0.99000   0.00
1983.50    1.19000   0.00
1983.58    1.61000   0.00
1983.67   -1.12000   0.00
1983.75    0.65000   0.00
1983.83   -0.98000   0.00
1983.92    0.29000   0.00
1984.00    1.66000   0.00
1984.08    0.72000   0.00
1984.17   -0.37000   0.00
1984.25   -0.28000   0.00
1984.33    0.54000   0.00
1984.42   -0.42000   0.00
1984.50   -0.07000   0.00
1984.58    1.15000   0.00
1984.67    0.17000   0.00
1984.75   -0.07000   0.00
1984.83   -0.06000   0.00
1984.92    0.00000   0.00
1985.00   -1.61000   0.00
1985.08   -0.49000   0.00
1985.17    0.20000   0.00
1985.25    0.32000   0.00
1985.33   -0.49000   0.00
1985.42   -0.80000   0.00
1985.50    1.22000   0.00
1985.58   -0.48000   0.00
1985.67   -0.52000   0.00
1985.75    0.90000   0.00
1985.83   -0.67000   0.00
1985.92    0.22000   0.00
1986.00    1.11000   0.00
1986.08   -1.00000   0.00
1986.17    1.71000   0.00
1986.25   -0.59000   0.00
1986.33    0.85000   0.00
1986.42    1.22000   0.00
1986.50    0.12000   0.00
1986.58   -1.09000   0.00
1986.67   -1.12000   0.00
1986.75    1.55000   0.00
1986.83    2.29000   0.00
1986.92    0.99000   0.00
1987.00   -1.15000   0.00
1987.08   -0.73000   0.00
1987.17    0.14000   0.00
1987.25    2.00000   0.00
1987.33    0.98000   0.00
1987.42   -1.82000   0.00
1987.50    0.52000   0.00
1987.58   -0.83000   0.00
1987.67   -1.22000   0.00
1987.75    0.14000   0.00
1987.83    0.18000   0.00
1987.92    0.32000   0.00
1988.00    1.02000   0.00
1988.08    0.76000   0.00
1988.17   -0.17000   0.00
1988.25   -1.17000   0.00
1988.33    0.63000   0.00
1988.42    0.88000   0.00
1988.50   -0.35000   0.00
1988.58    0.04000   0.00
1988.67   -0.99000   0.00
1988.75   -1.08000   0.00
1988.83   -0.34000   0.00
1988.92    0.61000   0.00
1989.00    1.17000   0.00
1989.08    2.00000   0.00
1989.17    1.85000   0.00
1989.25    0.28000   0.00
1989.33    1.38000   0.00
1989.42   -0.27000   0.00
1989.50    0.97000   0.00
1989.58    0.01000   0.00
1989.67    2.05000   0.00
1989.75   -0.03000   0.00
1989.83    0.16000   0.00
1989.92   -1.15000   0.00
1990.00    1.04000   0.00
1990.08    1.41000   0.00
1990.17    1.46000   0.00
1990.25    2.00000   0.00
1990.33   -1.53000   0.00
1990.42   -0.02000   0.00
1990.50    0.53000   0.00
1990.58    0.97000   0.00
1990.67    1.06000   0.00
1990.75    0.23000   0.00
1990.83   -0.24000   0.00
1990.92    0.22000   0.00
1991.00    0.86000   0.00
1991.08    1.04000   0.00
1991.17   -0.20000   0.00
1991.25    0.29000   0.00
1991.33    0.08000   0.00
1991.42   -0.82000   0.00
1991.50   -0.49000   0.00
1991.58    1.23000   0.00
1991.67    0.48000   0.00
1991.75   -0.19000   0.00
1991.83    0.48000   0.00
1991.92    0.46000   0.00
1992.00   -0.13000   0.00
1992.08    1.07000   0.00
1992.17    0.87000   0.00
1992.25    1.86000   0.00
1992.33    2.63000   0.00
1992.42    0.20000   0.00
1992.50    0.16000   0.00
1992.58    0.85000   0.00
1992.67   -0.44000   0.00
1992.75   -1.76000   0.00
1992.83    1.19000   0.00
1992.92    0.47000   0.00
1993.00    1.60000   0.00
1993.08    0.50000   0.00
1993.17    0.67000   0.00
1993.25    0.97000   0.00
1993.33   -0.78000   0.00
1993.42   -0.59000   0.00
1993.50   -3.18000   0.00
1993.58    0.12000   0.00
1993.67   -0.57000   0.00
1993.75   -0.71000   0.00
1993.83    2.56000   0.00
1993.92    1.56000   0.00
1994.00    1.04000   0.00
1994.08    0.46000   0.00
1994.17    1.26000   0.00
1994.25    1.14000   0.00
1994.33   -0.57000   0.00
1994.42    1.52000   0.00
1994.50    1.31000   0.00
1994.58    0.38000   0.00
1994.67   -1.32000   0.00
1994.75   -0.97000   0.00
1994.83    0.64000   0.00
1994.92    2.02000   0.00
1995.00    0.93000   0.00
1995.08    1.14000   0.00
1995.17    1.25000   0.00
1995.25   -0.85000   0.00
1995.33   -1.49000   0.00
1995.42    0.13000   0.00
1995.50   -0.22000   0.00
1995.58    0.69000   0.00
1995.67    0.31000   0.00
1995.75    0.19000   0.00
1995.83   -1.38000   0.00
1995.92   -1.67000   0.00
1996.00   -0.12000   0.00
1996.08   -0.07000   0.00
1996.17   -0.24000   0.00
1996.25   -0.17000   0.00
1996.33   -1.06000   0.00
1996.42    0.56000   0.00
1996.50    0.67000   0.00
1996.58    1.02000   0.00
1996.67   -0.86000   0.00
1996.75   -0.33000   0.00
