dates 1 2 3 
1996.8883196721 1016.9 -0.2 0
1996.8886612022 1018.4 -3.5 0
1996.8890027322 1019.1 -6.2 0
1996.8893442623 1021.3 -6 0
1996.8896857924 1021.3 -6.6 0
1996.8900273224 1020.5 -9.2 0
1996.8903688525 1021.1 -10.8 0
1996.8907103825 1019.7 -8.4 0
1996.8910519126 1017.9 -4.6 0
1996.8913934426 1016.6 -6.2 0
1996.8917349727 1015.5 -3.4 0
1996.8920765027 1014.4 -6.3 0
1996.8924180328 1011.8 -2.6 0
1996.8927595628 1010.6 -2 0
1996.8931010929 1010.1 -0.7 0
1996.893442623 1009.4 0.1 0
1996.893784153 1008.4 -0.4 0
1996.8941256831 1009.3 -2.2 0
1996.8944672131 1012.2 -3.6 0
1996.8948087432 1012.4 -4.5 0
1996.8951502732 1013 -4.9 0
1996.8954918033 1013.2 -5.1 0
1996.8958333333 1014.3 -7.6 0
1996.8961748634 1015.6 -6.4 0
1996.8965163934 1014.9 -2.7 0
1996.8968579235 1014.6 -5.7 0
1996.8971994536 1015.2 -7.3 0
1996.8975409836 1015.2 -7.5 0
1996.8978825137 1015.2 -8 0
1996.8982240437 1015.2 -8.2 0
1996.8985655738 1015.7 -10.6 0
1996.8989071038 1016.4 -6.6 0
1996.8992486339 1016 -4 0
1996.8995901639 1017.2 -5.8 0
1996.899931694 1017.3 -4.5 0
1996.900273224 1017.3 -3.4 0
1996.9006147541 1018.4 -6.4 0
1996.9009562842 1018.5 -4 0
1996.9012978142 1020 -4.7 0
1996.9016393443 1019 -2.6 0
1996.9019808743 1018 -0.4 0
1996.9023224044 1017.9 -2.8 0
1996.9026639344 1017.9 -2.9 0
1996.9030054645 1019.2 -4.7 0
1996.9033469945 1019.3 -6 0
1996.9036885246 1020.1 -8.3 0
1996.9040300546 1020.9 -9.6 0
1996.9043715847 1021.7 -1.5 0
1996.9047131148 1021.3 -2.2 0
1996.9050546448 1022.1 -5.2 0
1996.9053961749 1022.9 -3.9 0
1996.9057377049 1023.5 -4.6 0
1996.906079235 1023.5 -4.8 0
1996.906420765 1023.6 -5.4 0
1996.9067622951 1024.1 -6.4 0
1996.9071038251 1024 -4 0
1996.9074453552 1023.2 -2.8 0
1996.9077868852 1023.1 -5.6 0
1996.9081284153 1023.2 -5.2 0
1996.9084699454 1023.7 -6.6 0
1996.9088114754 1023.1 -5.7 0
1996.9091530055 1021.9 -6 0
1996.9094945355 1020.9 -7 0
1996.9098360656 1019.8 -6.9 1.6
1996.9101775956 1016.8 -1.2 1.6
1996.9105191257 1014.7 -6 1.6
1996.9108606557 1012.5 -3.6 1.6
1996.9112021858 1010.3 -3.2 1.6
1996.9115437158 1008.3 -2.8 1.6
1996.9118852459 1006.4 -2.7 1.6
1996.912226776 1004.8 2.6 1.6
1996.912568306 1003.6 2.6 18.1
1996.9129098361 1001.8 2.2 18.1
1996.9132513661 1001 1.8 18.1
1996.9135928962 999.3 1 18.1
1996.9139344262 997.6 1 18.1
1996.9142759563 996.3 1 18.1
1996.9146174863 994 -0.5 18.1
1996.9149590164 992.4 -0.2 18.1
1996.9153005464 992.1 0.3 3.7
1996.9156420765 990.2 0.6 3.7
1996.9159836066 989.8 -0.2 3.7
1996.9163251366 989.9 2.8 3.7
1996.9166666667 990 0.8 3.7
1996.9170081967 989.9 -2.8 3.7
1996.9173497268 990 -3.6 3.7
1996.9176912568 989.9 -3.2 3.7
1996.9180327869 990.1 -1.4 0
1996.9183743169 990 -0.4 0
1996.918715847 989.2 -1.8 0
1996.919057377 990.8 -4.4 0
