dates    soi    ???
1983.67    1.40000   0.00
1983.75    0.70000   0.00
1983.83   -0.20000   0.00
1983.92    0.00000   0.00
1984.00    0.30000   0.00
1984.08    1.40000   0.00
1984.17   -0.40000   0.00
1984.25    0.60000   0.00
1984.33    0.30000   0.00
1984.42   -0.60000   0.00
1984.50    0.30000   0.00
1984.58    0.70000   0.00
1984.67    0.20000   0.00
1984.75   -0.50000   0.00
1984.83    0.40000   0.00
1984.92   -0.20000   0.00
1985.00   -0.50000   0.00
1985.08    2.00000   0.00
1985.17    1.30000   0.00
1985.25    1.90000   0.00
1985.33    0.70000   0.00
1985.42   -0.60000   0.00
1985.50   -0.20000   0.00
1985.58    1.60000   0.00
1985.67    0.00000   0.00
1985.75   -0.60000   0.00
1985.83   -0.30000   0.00
1985.92    0.40000   0.00
1986.00    1.60000   0.00
1986.08   -1.70000   0.00
1986.17    0.80000   0.00
1986.25    0.50000   0.00
1986.33   -0.40000   0.00
1986.42    1.60000   0.00
1986.50    0.50000   0.00
1986.58   -0.60000   0.00
1986.67   -0.80000   0.00
1986.75    1.10000   0.00
1986.83   -2.00000   0.00
1986.92   -2.40000   0.00
1987.00   -1.10000   0.00
1987.08   -2.10000   0.00
1987.17   -2.10000   0.00
1987.25   -2.30000   0.00
1987.33   -2.10000   0.00
1987.42   -1.80000   0.00
1987.50   -2.20000   0.00
1987.58   -1.50000   0.00
1987.67   -1.70000   0.00
1987.75   -0.60000   0.00
1987.83   -0.00000   0.00
1987.92   -0.80000   0.00
1988.00   -0.20000   0.00
1988.08   -0.60000   0.00
1988.17    1.10000   0.00
1988.25    0.20000   0.00
1988.33    1.50000   0.00
1988.42    0.10000   0.00
1988.50    1.70000   0.00
1988.58    2.50000   0.00
1988.67    3.00000   0.00
1988.75    2.30000   0.00
1988.83    2.80000   0.00
1988.92    2.00000   0.00
1989.00    2.50000   0.00
1989.08    2.00000   0.00
1989.17    1.80000   0.00
1989.25    2.70000   0.00
1989.33    2.00000   0.00
1989.42    1.20000   0.00
1989.50    1.50000   0.00
1989.58   -0.50000   0.00
1989.67    0.80000   0.00
1989.75    1.30000   0.00
1989.83   -0.40000   0.00
1989.92   -0.90000   0.00
1990.00   -0.10000   0.00
1990.08   -3.00000   0.00
1990.17   -0.70000   0.00
1990.25    0.30000   0.00
1990.33    2.00000   0.00
1990.42    0.50000   0.00
1990.50    0.90000   0.00
1990.58   -0.30000   0.00
1990.67   -1.20000   0.00
1990.75    0.40000   0.00
1990.83   -0.80000   0.00
1990.92   -0.40000   0.00
1991.00    1.00000   0.00
1991.08    0.40000   0.00
1991.17   -1.10000   0.00
1991.25   -1.00000   0.00
1991.33   -1.70000   0.00
1991.42   -0.20000   0.00
1991.50    0.00000   0.00
1991.58   -0.70000   0.00
1991.67   -2.50000   0.00
1991.75   -1.70000   0.00
1991.83   -1.10000   0.00
1991.92   -2.90000   0.00
1992.00   -4.70000   0.00
1992.08   -1.50000   0.00
1992.17   -3.30000   0.00
1992.25   -1.70000   0.00
1992.33    0.40000   0.00
1992.42   -1.00000   0.00
1992.50   -1.00000   0.00
1992.58    0.60000   0.00
1992.67    0.10000   0.00
1992.75   -2.30000   0.00
1992.83   -1.10000   0.00
1992.92   -0.90000   0.00
1993.00   -1.50000   0.00
1993.08   -1.20000   0.00
1993.17   -0.80000   0.00
1993.25   -1.90000   0.00
1993.33   -0.60000   0.00
1993.42   -1.40000   0.00
1993.50   -1.30000   0.00
1993.58   -1.60000   0.00
1993.67   -1.20000   0.00
1993.75   -1.80000   0.00
1993.83   -0.10000   0.00
1993.92    0.30000   0.00
1994.00   -0.20000   0.00
1994.08    0.40000   0.00
1994.17   -1.10000   0.00
1994.25   -2.10000   0.00
1994.33   -1.10000   0.00
1994.42   -0.70000   0.00
1994.50   -2.20000   0.00
1994.58   -2.00000   0.00
1994.67   -2.60000   0.00
1994.75   -1.90000   0.00
1994.83   -0.90000   0.00
1994.92   -2.00000   0.00
1995.00   -0.70000   0.00
1995.08   -0.20000   0.00
1995.17    1.20000   0.00
1995.25   -1.10000   0.00
1995.33   -0.60000   0.00
1995.42    0.20000   0.00
1995.50    0.70000   0.00
1995.58    0.50000   0.00
1995.67    0.40000   0.00
1995.75    0.00000   0.00
1995.83    0.10000   0.00
1995.92   -0.80000   0.00
1996.00    1.60000   0.00
1996.08    0.40000   0.00
1996.17    1.90000   0.00
1996.25    1.30000   0.00
1996.33    0.50000   0.00
1996.42    1.90000   0.00
1996.50    1.10000   0.00
1996.58    1.20000   0.00
1996.67    1.00000   0.00
1996.75    1.00000   0.00
1996.83   -0.10000   0.00
1996.92    1.50000   0.00
1997.00    0.80000   0.00
1997.08    2.90000   0.00
1997.17   -0.70000   0.00
1997.25   -1.00000   0.00
1997.33   -2.20000   0.00
1997.42   -2.30000   0.00
1997.50   -1.20000   0.00
1997.58   -2.40000   0.00
1997.67   -2.40000   0.00
1997.75   -2.40000   0.00
1997.83   -2.00000   0.00
1997.92   -1.60000   0.00
1998.00   -4.40000   0.00
1998.08   -3.40000   0.00
1998.17   -4.00000   0.00
1998.25   -2.40000   0.00
1998.33    0.40000   0.00
1998.42    1.60000   0.00
1998.50    2.00000   0.00
1998.58    1.90000   0.00
1998.67    1.70000   0.00
1998.75    1.80000   0.00
1998.83    1.70000   0.00
1998.92    2.30000   0.00
1999.00    3.00000   0.00
1999.08    1.60000   0.00
1999.17    2.10000   0.00
1999.25    2.30000   0.00
1999.33    0.40000   0.00
1999.42    0.40000   0.00
1999.50    0.90000   0.00
1999.58    0.60000   0.00
1999.67   -0.10000   0.00
1999.75    1.60000   0.00
1999.83    1.70000   0.00
1999.92    2.40000   0.00
2000.00    1.10000   0.00
2000.08    2.70000   0.00
2000.17    2.20000   0.00
2000.25    2.00000   0.00
2000.33    0.60000   0.00
2000.42   -0.30000   0.00
2000.50   -0.30000   0.00
2000.58    1.20000   0.00
2000.67    1.40000   0.00
2000.75    1.80000   0.00
2000.83    3.00000   0.00
2000.92    1.30000   0.00
2001.00    1.60000   0.00
2001.08    2.80000   0.00
2001.17    1.50000   0.00
2001.25    0.30000   0.00
2001.33   -0.80000   0.00
2001.42    0.50000   0.00
2001.50   -0.30000   0.00
2001.58   -0.70000   0.00
2001.67    0.30000   0.00
2001.75   -0.10000   0.00
2001.83    1.10000   0.00
2001.92   -1.40000   0.00
2002.00    0.70000   0.00
2002.08    1.80000   0.00
2002.17   -0.40000   0.00
2002.25   -0.10000   0.00
2002.33   -1.40000   0.00
2002.42   -0.40000   0.00
2002.50   -0.80000   0.00
2002.58   -1.60000   0.00
2002.67   -1.00000   0.00
2002.75   -0.60000   0.00
2002.83   -0.70000   0.00
2002.92   -1.80000   0.00
2003.00   -0.30000   0.00
2003.08   -1.10000   0.00
2003.17   -0.50000   0.00
2003.25   -0.20000   0.00
2003.33   -0.50000   0.00
2003.42   -1.00000   0.00
2003.50    0.50000   0.00
2003.58    0.20000   0.00
2003.67   -0.20000   0.00
2003.75    0.00000   0.00
2003.83   -0.50000   0.00
2003.92    1.80000   0.00
2004.00   -2.20000   0.00
2004.08    2.00000   0.00
2004.17    0.70000   0.00
2004.25   -1.50000   0.00
2004.33    1.70000   0.00
2004.42   -1.40000   0.00
2004.50   -0.80000   0.00
2004.58   -0.50000   0.00
2004.67   -0.60000   0.00
2004.75   -0.10000   0.00
2004.83   -1.10000   0.00
2004.92   -1.30000   0.00
2005.00    0.60000   0.00
2005.08   -5.20000   0.00
2005.17    0.50000   0.00
2005.25   -1.00000   0.00
2005.33   -1.30000   0.00
2005.42    0.70000   0.00
2005.50    0.30000   0.00
2005.58   -0.60000   0.00
2005.67    0.60000   0.00
2005.75    2.00000   0.00
2005.83   -0.30000   0.00
2005.92   -0.00000   0.00
2006.00    2.70000   0.00
2006.08    0.20000   0.00
2006.17    2.90000   0.00
2006.25    1.80000   0.00
2006.33   -0.80000   0.00
2006.42   -0.40000   0.00
2006.50   -1.00000   0.00
2006.58   -1.70000   0.00
2006.67   -1.00000   0.00
2006.75   -2.10000   0.00
2006.83    0.10000   0.00
2006.92   -0.50000   0.00
2007.00   -1.30000   0.00
2007.08   -0.10000   0.00
2007.17    0.30000   0.00
2007.25   -0.20000   0.00
2007.33   -0.20000   0.00
2007.42    0.90000   0.00
2007.50   -0.50000   0.00
2007.58    0.70000   0.00
2007.67    0.30000   0.00
2007.75    1.20000   0.00
2007.83    1.40000   0.00
2007.92    2.70000   0.00
2008.00    2.90000   0.00
2008.08    4.40000   0.00
2008.17    2.40000   0.00
2008.25    1.10000   0.00
2008.33   -0.10000   0.00
2008.42    1.00000   0.00
2008.50    0.50000   0.00
2008.58    1.70000   0.00
2008.67    2.00000   0.00
2008.75    2.10000   0.00
2008.83    2.20000   0.00
2008.92    2.40000   0.00
2009.00    1.80000   0.00
2009.08    3.10000   0.00
2009.17    0.70000   0.00
2009.25    1.30000   0.00
2009.33   -0.20000   0.00
2009.42    0.20000   0.00
2009.50    0.40000   0.00
2009.58   -0.30000   0.00
2009.67    0.50000   0.00
2009.75   -2.00000   0.00
2009.83   -1.00000   0.00
2009.92   -1.20000   0.00
2010.00   -1.80000   0.00
2010.08   -2.40000   0.00
2010.17   -1.10000   0.00
2010.25    2.00000   0.00
2010.33    1.50000   0.00
2010.42    0.60000   0.00
2010.50    3.00000   0.00
2010.58    3.00000   0.00
2010.67    3.70000   0.00
2010.75    2.90000   0.00
2010.83    2.10000   0.00
2010.92    4.80000   0.00
2011.00    3.80000   0.00
2011.08    4.50000   0.00
2011.17    4.20000   0.00
2011.25    3.10000   0.00
2011.33    0.60000   0.00
2011.42    0.40000   0.00
2011.50    1.60000   0.00
2011.58    0.70000   0.00
2011.67    1.70000   0.00
2011.75    1.20000   0.00
2011.83    1.80000   0.00
2011.92    4.10000   0.00
2012.00    1.80000   0.00
2012.08    0.80000   0.00
2012.17    1.20000   0.00
2012.25   -0.40000   0.00
2012.33    0.10000   0.00
2012.42   -0.70000   0.00
2012.50   -0.10000   0.00
2012.58   -0.30000   0.00
2012.67    0.40000   0.00
2012.75    0.50000   0.00
2012.83    0.40000   0.00
2012.92   -1.00000   0.00
2013.00   -0.10000   0.00
2013.08   -0.40000   0.00
2013.17    2.50000   0.00
2013.25    0.40000   0.00
2013.33    1.30000   0.00
2013.42    2.00000   0.00
2013.50    1.30000   0.00
2013.58    0.30000   0.00
2013.67    0.50000   0.00
2013.75   -0.10000   0.00
2013.83    1.20000   0.00
2013.92    0.10000   0.00
2014.00    2.40000   0.00
2014.08    0.10000   0.00
2014.17   -1.50000   0.00
2014.25    1.30000   0.00
2014.33    0.90000   0.00
2014.42    0.30000   0.00
2014.50   -0.30000   0.00
2014.58   -1.20000   0.00
2014.67   -1.20000   0.00
2014.75   -1.00000   0.00
2014.83   -1.50000   0.00
2014.92   -0.90000   0.00
2015.00   -1.40000   0.00
2015.08    0.40000   0.00
2015.17   -1.20000   0.00
2015.25   -0.10000   0.00
2015.33   -1.20000   0.00
2015.42   -0.90000   0.00
2015.50   -1.90000   0.00
2015.58   -2.40000   0.00
2015.67   -2.70000   0.00
2015.75   -2.80000   0.00
2015.83   -0.80000   0.00
2015.92   -0.90000   0.00
2016.00   -3.60000   0.00
2016.08   -3.20000   0.00
2016.17   -0.10000   0.00
2016.25   -2.00000   0.00
2016.33    0.70000   0.00
2016.42    1.10000   0.00
2016.50    0.70000   0.00
2016.58    1.20000   0.00
2016.67    2.00000   0.00
2016.75   -0.40000   0.00
2016.83   -0.20000   0.00
2016.92    0.50000   0.00
2017.00    0.30000   0.00
2017.08   -0.10000   0.00
2017.17    1.50000   0.00
2017.25   -0.30000   0.00
2017.33    0.40000   0.00
2017.42   -0.70000   0.00
2017.50    1.30000   0.00
2017.58    0.90000   0.00
2017.67    1.00000   0.00
2017.75    1.50000   0.00
2017.83    1.50000   0.00
2017.92   -0.20000   0.00
2018.00    1.80000   0.00
2018.08   -0.80000   0.00
2018.17    2.40000   0.00
2018.25    0.80000   0.00
2018.33    0.60000   0.00
2018.42   -0.20000   0.00
2018.50    0.40000   0.00
2018.58   -0.50000   0.00
2018.67   -1.50000   0.00
2018.75    0.60000   0.00
2018.83   -0.10000   0.00
2018.92    1.70000   0.00
2019.00   -0.10000   0.00
2019.08   -2.30000   0.00
2019.17   -0.50000   0.00
2019.25    0.20000   0.00
2019.33   -0.70000   0.00
2019.42   -0.70000   0.00
2019.50   -0.60000   0.00
2019.58   -0.20000   0.00
2019.67   -1.90000   0.00
2019.75   -0.60000   0.00
2019.83   -1.40000   0.00
2019.92   -0.90000   0.00
2020.00    0.30000   0.00
2020.08   -0.10000   0.00
2020.17   -0.20000   0.00
2020.25    0.30000   0.00
2020.33    0.70000   0.00
2020.42   -0.60000   0.00
2020.50    0.70000   0.00
2020.58    1.80000   0.00
2020.67    1.50000   0.00
2020.75    0.80000   0.00
2020.83    1.10000   0.00
2020.92    3.00000   0.00
2021.00    3.20000   0.00
2021.08    2.50000   0.00
2021.17    0.60000   0.00
2021.25    0.60000   0.00
2021.33    0.80000   0.00
2021.42    0.70000   0.00
2021.50    2.30000   0.00
2021.58    1.00000   0.00
2021.67    1.30000   0.00
2021.75    1.20000   0.00
2021.83    1.60000   0.00
2021.92    2.50000   0.00
2022.00    0.80000   0.00
2022.08    1.80000   0.00
2022.17    2.90000   0.00
2022.25    2.80000   0.00
2022.33    2.40000   0.00
2022.42    2.80000   0.00
2022.50    1.30000   0.00
2022.58    1.70000   0.00
2022.67    2.70000   0.00
2022.75    2.80000   0.00
2022.83    0.50000   0.00
2022.92    3.50000   0.00
2023.00    2.30000   0.00
2023.08    2.30000   0.00
2023.17    0.30000   0.00
2023.25    0.40000   0.00
2023.33   -1.70000   0.00
2023.42    0.40000   0.00
2023.50   -0.40000   0.00
2023.58   -1.40000   0.00
2023.67   -2.10000   0.00
2023.75   -0.80000   0.00
2023.83   -1.30000   0.00
2023.92   -0.40000   0.00
2024.00    0.80000   0.00
2024.08   -2.30000   0.00
2024.17    0.60000   0.00
