dates values
1997.61602 0
1997.61875 0
1997.62149 0
1997.62423 0
1997.62697 0
1997.62971 0
1997.63244 0
1997.63518 0
1997.63792 0
1997.64066 0
1997.64339 0
1997.64613 0
1997.64887 0
1997.65161 0
1997.65435 0
1997.65708 0
1997.65982 0
1997.66256 0
1997.6653 0
1997.66804 0
1997.67077 0
1997.67351 0
1997.67625 0
1997.67899 0
1997.68172 0
1997.68446 0
1997.6872 0
1997.68994 0
1997.69268 0
1997.69541 0
1997.69815 0
1997.70089 0
1997.70363 0
1997.70637 0
1997.7091 0
1997.71184 0
1997.71458 0
1997.71732 0
1997.72005 0
1997.72279 0
1997.72553 0
1997.72827 0
1997.73101 0
1997.73374 0
1997.73648 0
1997.73922 0
1997.74196 0
1997.7447 0
1997.74743 0
1997.75017 0
1997.75291 0
1997.75565 0
1997.75838 0
1997.76112 0
1997.76386 0
1997.7666 1
1997.76934 0
1997.77207 0
1997.77481 0
1997.77755 0
1997.78029 0
1997.78303 0
1997.78576 0
1997.7885 0
1997.79124 0
1997.79398 0
1997.79671 0
1997.79945 0
1997.80219 0
1997.80493 0
1997.80767 0
1997.8104 0
1997.81314 0
1997.81588 0
1997.81862 0
1997.82136 0
1997.82409 0
1997.82683 0
1997.82957 0
1997.83231 0
1997.83504 0
1997.83778 0
1997.84052 0
1997.84326 0
1997.846 0
1997.84873 0
1997.85147 0
1997.85421 0
1997.85695 0
1997.85969 0
1997.86242 0
1997.86516 0
1997.8679 0
1997.87064 0
1997.87337 0
1997.87611 0
1997.87885 0
1997.88159 0
1997.88433 0
1997.88706 0
1997.8898 0
1997.89254 0
1997.89528 0
1997.89802 0
1997.90075 0
1997.90349 0
1997.90623 0
1997.90897 0
1997.9117 0
1997.91444 0
1997.91718 0
1997.91992 0
1997.92266 0
1997.92539 0
1997.92813 0
1997.93087 0
1997.93361 0
1997.93634 1
1997.93908 0
1997.94182 0
1997.94456 0
1997.9473 0
1997.95003 0
1997.95277 0
1997.95551 0
1997.95825 0
1997.96099 0
1997.96372 0
1997.96646 0
1997.9692 0
1997.97194 0
1997.97467 0
1997.97741 0
1997.98015 0
1997.98289 0
1997.98563 0
1997.98836 0
1997.9911 0
1997.99384 0
1997.99658 0
1998.0 0
1998.00274 0
1998.00548 0
1998.00821 0
1998.01095 0
1998.01369 0
1998.01643 0
1998.01916 0
1998.0219 0
1998.02464 0
1998.02738 0
1998.03012 0
1998.03285 0
1998.03559 0
1998.03833 0
1998.04107 0
1998.04381 0
1998.04654 0
1998.04928 0
1998.05202 0
1998.05476 0
1998.05749 0
1998.06023 0
1998.06297 0
1998.06571 0
1998.06845 0
1998.07118 0
1998.07392 0
1998.07666 0
1998.0794 0
1998.08214 0
1998.08487 0
1998.08761 0
1998.09035 0
1998.09309 0
1998.09582 0
1998.09856 0
1998.1013 0
1998.10404 0
1998.10678 0
1998.10951 0
1998.11225 0
1998.11499 0
1998.11773 0
1998.12047 0
1998.1232 0
1998.12594 0
1998.12868 0
1998.13142 0
1998.13415 0
1998.13689 0
1998.13963 0
1998.14237 0
1998.14511 0
1998.14784 0
1998.15058 0
1998.15332 0
1998.15606 0
1998.1588 0
1998.16153 0
1998.16427 0
1998.16701 0
1998.16975 0
1998.17248 0
1998.17522 0
1998.17796 0
1998.1807 0
1998.18344 0
1998.18617 0
1998.18891 0
1998.19165 0
1998.19439 0
1998.19713 0
1998.19986 0
1998.2026 0
1998.20534 0
1998.20808 0
1998.21081 0
1998.21355 0
1998.21629 0
1998.21903 0
1998.22177 0
1998.2245 0
1998.22724 0
1998.22998 0
1998.23272 0
1998.23546 0
1998.23819 0
1998.24093 0
1998.24367 0
1998.24641 0
1998.24914 0
1998.25188 0
1998.25462 0
1998.25736 0
1998.2601 0
1998.26283 0
1998.26557 0
1998.26831 0
1998.27105 0
1998.27379 0
1998.27652 0
1998.27926 0
1998.282 0
1998.28474 0
1998.28747 0
1998.29021 0
1998.29295 0
1998.29569 0
1998.29843 0
1998.30116 0
1998.3039 0
1998.30664 0
1998.30938 0
1998.31211 0
1998.31485 0
1998.31759 0
1998.32033 0
1998.32307 0
1998.3258 0
1998.32854 0
1998.33128 0
1998.33402 0
1998.33676 0
1998.33949 0
1998.34223 0
1998.34497 0
1998.34771 0
1998.35044 0
1998.35318 0
1998.35592 0
1998.35866 0
