Date,rad_val
20230720T0000,5780.0
20230721T0000,5303.0
20230722T0000,6038.0
20230723T0000,5665.0
20230724T0000,3231.0
20230725T0000,4385.0
20230726T0000,5662.0
20230727T0000,4293.0
20230728T0000,3683.0
20230729T0000,4671.0
20230730T0000,5420.0
20230731T0000,6085.0
20230801T0000,3125.0
20230802T0000,3835.0
20230803T0000,5139.0
20230804T0000,3452.0
20230805T0000,4840.0
20230806T0000,3027.0
20230807T0000,5347.0
20230808T0000,5074.0
20230809T0000,2912.0
20230810T0000,6909.0
20230811T0000,6908.0
20230812T0000,4802.0
20230813T0000,4889.0
20230814T0000,5429.0
20230815T0000,5343.0
20230816T0000,5899.0
20230817T0000,5779.0
20230818T0000,5962.0
20230819T0000,5398.0
20230820T0000,5586.0
20230821T0000,5890.0
20230822T0000,6171.0
20230823T0000,6168.0
20230824T0000,5460.0
20230825T0000,3480.0
20230826T0000,2045.0
20230827T0000,1934.0
20230828T0000,1373.0
20230829T0000,2905.0
20230830T0000,4234.0
20230831T0000,2606.0
20230901T0000,4019.0
20230902T0000,5373.0
20230903T0000,5119.0
20230904T0000,5647.0
20230905T0000,5726.0
20230906T0000,5765.0
20230907T0000,5621.0
20230908T0000,5454.0
20230909T0000,4977.0
20230910T0000,5417.0
20230911T0000,5269.0
20230912T0000,4729.0
20230913T0000,2024.0
20230914T0000,4297.0
20230915T0000,3906.0
20230916T0000,3892.0
20230917T0000,3973.0
20230918T0000,1967.0
20230919T0000,3794.0
20230920T0000,4836.0
20230921T0000,3040.0
20230922T0000,3345.0
20230923T0000,3288.0
20230924T0000,4179.0
20230925T0000,4640.0
20230926T0000,4658.0
20230927T0000,4588.0
20230928T0000,4111.0
20230929T0000,3946.0
20230930T0000,2952.0
20231001T0000,4253.0
20231002T0000,4172.0
20231003T0000,3456.0
20231004T0000,3640.0
20231005T0000,3506.0
20231006T0000,3877.0
20231007T0000,3889.0
20231008T0000,3809.0
20231009T0000,3690.0
20231010T0000,3444.0
20231011T0000,3679.0
20231012T0000,3315.0
20231013T0000,3559.0
20231014T0000,1125.0
20231015T0000,2423.0
20231016T0000,3465.0
20231017T0000,3115.0
20231018T0000,1807.0
20231019T0000,1384.0
20231020T0000,1136.0
20231021T0000,2833.0
20231022T0000,2591.0
20231023T0000,1263.0
20231024T0000,658.0
20231025T0000,1593.0
20231026T0000,953.0
20231027T0000,1912.0
20231028T0000,1466.0
20231029T0000,1520.0
20231030T0000,1823.0
20231031T0000,1160.0
20231101T0000,1949.0
20231102T0000,538.0
20231103T0000,1364.0
20231104T0000,1001.0
20231105T0000,1046.0
20231106T0000,1355.0
20231107T0000,1374.0
20231108T0000,2084.0
20231109T0000,502.0
20231110T0000,1750.0
20231111T0000,1476.0
20231112T0000,227.0
20231113T0000,487.0
20231114T0000,579.0
20231115T0000,1253.0
20231116T0000,656.0
20231117T0000,871.0
20231118T0000,824.0
20231119T0000,524.0
20231120T0000,1234.0
20231121T0000,747.0
20231122T0000,669.0
